"Date","Price","Open","High","Low","Vol.","Change %"
"04/29/2020","2,941.00","2,870.50","2,959.75","2,860.75","1.74M","2.57%"
"04/28/2020","2,867.25","2,867.75","2,913.50","2,851.00","1.61M","-0.06%"
"04/27/2020","2,869.00","2,829.00","2,881.25","2,812.75","1.22M","1.40%"
"04/24/2020","2,829.50","2,777.00","2,835.00","2,755.25","1.29M","1.75%"
"04/23/2020","2,780.75","2,790.50","2,836.75","2,772.75","1.70M","-0.28%"
"04/22/2020","2,788.50","2,737.25","2,808.00","2,717.25","1.37M","2.07%"
"04/21/2020","2,732.00","2,807.00","2,833.25","2,717.25","1.97M","-2.65%"
"04/20/2020","2,806.50","2,861.50","2,875.50","2,804.25","1.57M","-2.21%"
"04/17/2020","2,870.00","2,863.00","2,885.00","2,821.00","1.92M","2.96%"
"04/16/2020","2,787.50","2,767.75","2,831.50","2,746.00","1.75M","0.45%"
"04/15/2020","2,775.00","2,843.75","2,845.50","2,751.25","1.83M","-2.39%"
"04/14/2020","2,843.00","2,760.00","2,846.00","2,752.50","1.72M","3.04%"
"04/13/2020","2,759.25","2,811.00","2,819.50","2,711.00","1.57M","-1.00%"
"04/10/2020","2,787.25","2,787.25","2,787.25","2,787.25","","0.27%"
"04/09/2020","2,779.75","2,737.75","2,809.50","2,701.00","2.34M","1.64%"
"04/08/2020","2,735.00","2,640.50","2,752.50","2,620.75","1.92M","3.52%"
"04/07/2020","2,642.00","2,645.50","2,750.00","2,623.50","2.49M","-0.09%"
"04/06/2020","2,644.50","2,485.00","2,668.50","2,484.75","2.03M","6.51%"
"04/03/2020","2,482.75","2,513.75","2,529.50","2,449.00","1.76M","-1.34%"
"04/02/2020","2,516.50","2,459.00","2,525.00","2,424.75","2.15M","2.80%"
"04/01/2020","2,448.00","2,562.00","2,562.25","2,434.25","2.09M","-4.74%"
"03/31/2020","2,569.75","2,613.25","2,635.75","2,555.75","2.25M","-1.59%"
"03/30/2020","2,611.25","2,459.00","2,621.75","2,445.00","1.84M","3.46%"
"03/27/2020","2,524.00","2,627.75","2,634.50","2,505.25","2.32M","-3.22%"
"03/26/2020","2,608.00","2,471.00","2,625.75","2,402.25","2.41M","5.72%"
"03/25/2020","2,467.00","2,442.75","2,560.75","2,386.00","3.04M","1.19%"
"03/24/2020","2,438.00","2,233.25","2,447.75","2,230.50","2.64M","9.80%"
"03/23/2020","2,220.50","2,220.25","2,386.00","2,174.00","3.08M","-8.92%"
"03/20/2020","2,437.98","2,364.25","2,512.75","2,346.25","71.68K","1.45%"
"03/19/2020","2,403.25","2,414.25","2,474.00","2,288.00","631.23K","-0.45%"
"03/18/2020","2,414.00","2,478.50","2,498.00","2,274.75","976.54K","-3.27%"
"03/17/2020","2,495.50","2,417.25","2,554.50","2,365.00","1.68M","3.28%"
